player,team,games,position,recTarg,recRec,recRec40s,recYds,recYds100Games,recTds,recTd40s,recDrops,catch,depth,ypt,ypr,rac,rzRecTarg,rzRecRec,rzRecTds,rzRecTargPct,rzRecRecPct,rzRecTdPct,ezRecTarg,ezRecTds,ezRecTargPct,ezRecRecPct,ezRecTdPct,rushCarries,rush40s,rushYds,rushYds100Games,rushTds,rushTd40s,ypc,yac,rushTa,tat,fumbles,rzRushCarries,rzRushTds,rzRushPct,rzRushTdPct,i5RushCarries,i5RushTds,i5RushPct,i5RushTdPct,patConversions,patAttempts,fantasyPts,ptsPerSnap,ptsPerTouch
Justin Jefferson,MIN,17,WR,176,128,6,1809,10,8,0,7,72.7,10.65,10.28,14.13,4.94,48,28,8,27.3,21.9,100,14,2,8,1.6,25,4,0,24,0,1,0,6,1.25,1,0.25,0,1,1,25,100,1,1,25,100,1,1,365.3,0.34,2.77
Tyreek Hill,MIA,17,WR,167,119,7,1710,7,7,4,4,71.3,12.7,10.24,14.37,4.09,27,13,6,16.2,10.9,85.7,5,3,3,2.5,42.9,7,0,32,0,1,0,4.57,2.71,1,0.14,1,2,1,28.6,100,1,1,14.3,100,0,0,341.2,0.43,2.71
Davante Adams,LV,17,WR,168,100,7,1516,8,14,5,6,59.5,12.79,9.02,15.16,5.02,45,22,11,26.8,22,78.6,16,6,9.5,6,42.9,3,0,-1,0,0,0,-0.33,1.33,1,0.33,1,0,0,0,0,0,0,0,0,0,2,335.5,0.32,3.26
Stefon Diggs,BUF,16,WR,149,108,6,1429,7,11,3,9,72.5,11.87,9.59,13.23,3.9,36,20,11,24.2,18.5,100,18,8,12.1,7.4,72.7,1,0,-3,0,0,0,-3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,316.6,0.38,2.9
A.J. Brown,PHI,17,WR,137,88,6,1496,5,11,2,6,64.2,12.87,10.92,17,6.42,39,21,10,28.5,23.9,90.9,10,6,7.3,6.8,54.5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,303.6,0.3,3.45
CeeDee Lamb,DAL,17,WR,148,107,0,1359,5,9,0,5,72.3,10.49,9.18,12.7,4.64,32,23,9,21.6,21.5,100,6,4,4.1,3.7,44.4,10,0,47,0,0,0,4.7,3.3,2,0.2,0,1,0,10,0,0,0,0,0,0,1,301.6,0.3,2.58
Amon-Ra St. Brown,DET,16,WR,139,106,1,1161,4,6,0,4,76.3,6.68,8.35,10.95,5.13,27,18,6,19.4,17,100,5,3,3.6,2.8,50,9,1,95,0,0,0,10.56,3.56,1,0.11,0,4,0,44.4,0,1,0,11.1,0,0,0,267.6,0.32,2.33
Jaylen Waddle,MIA,17,WR,114,75,6,1356,6,8,3,8,65.8,12.16,11.89,18.08,6.95,22,12,5,19.3,16,62.5,6,3,5.3,4,37.5,3,0,26,0,0,0,8.67,1,0,0,1,0,0,0,0,0,0,0,0,0,1,261.2,0.33,3.35
DeVonta Smith,PHI,17,WR,132,95,4,1196,5,7,1,5,72,9.9,9.06,12.59,5.13,22,13,7,16.7,13.7,100,7,3,5.3,3.2,42.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,256.6,0.24,2.7
Amari Cooper,CLV,17,WR,126,78,4,1160,5,9,1,6,61.9,13.29,9.21,14.87,3.79,37,15,8,29.4,19.2,88.9,16,6,12.7,7.7,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,248,0.25,3.18
Ja'Marr Chase,CIN,12,WR,127,87,3,1046,4,9,2,6,68.5,9.85,8.24,12.02,4.79,42,23,7,33.1,26.4,77.8,14,5,11,5.7,55.6,5,0,8,0,0,0,1.6,3.6,2,0.4,2,1,0,20,0,0,0,0,0,0,0,246.4,0.31,2.68
Christian Kirk,JAX,17,WR,123,84,2,1108,3,8,0,8,68.3,9.75,9.01,13.19,4.61,28,16,8,22.8,19,100,7,5,5.7,6,62.5,5,0,11,0,0,0,2.2,1.6,1,0.2,1,0,0,0,0,0,0,0,0,0,1,243.9,0.25,2.74
Tyler Lockett,SEA,16,WR,109,84,1,1033,3,9,1,2,77.1,11.4,9.48,12.3,3.26,27,18,8,24.8,21.4,88.9,10,6,9.2,7.1,66.7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,241.3,0.3,2.87
D.K. Metcalf,SEA,17,WR,139,90,3,1048,2,6,1,5,64.7,12.09,7.54,11.64,2.57,34,11,5,24.5,12.2,83.3,22,5,15.8,5.6,83.3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,230.8,0.26,2.56
Brandon Aiyuk,SF,17,WR,112,78,1,1015,1,8,0,5,69.6,10.34,9.06,13.01,4.74,24,13,8,21.4,16.7,100,3,2,2.7,2.6,25,2,0,23,0,0,0,11.5,4,0,0,1,0,0,0,0,0,0,0,0,0,1,229.8,0.23,2.87
Terry McLaurin,WAS,17,WR,115,77,6,1191,4,5,1,3,67,13.05,10.36,15.47,5.14,25,17,5,21.7,22.1,100,7,2,6.1,2.6,40,7,0,29,0,0,0,4.14,2.29,0,0,1,0,0,0,0,0,0,0,0,0,0,229,0.22,2.73
Mike Evans,TB,15,WR,123,77,5,1133,3,6,2,4,62.6,14.21,9.21,14.71,2.95,33,18,6,26.8,23.4,100,10,4,8.1,5.2,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,226.3,0.24,2.94
Chris Godwin,TB,15,WR,137,104,1,1023,2,3,0,5,75.9,5.96,7.47,9.84,5.02,19,13,3,13.9,12.5,100,3,1,2.2,1,33.3,3,0,5,0,0,0,1.67,2,0,0,2,2,0,66.7,0,0,0,0,0,1,3,224.8,0.26,2.1
Tee Higgins,CIN,16,WR,104,74,3,1029,4,7,2,4,71.2,11.6,9.89,13.91,3.78,28,16,6,26.9,21.6,85.7,6,2,5.8,2.7,28.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,218.9,0.29,2.96
Michael Pittman Jr.,IND,16,WR,139,99,0,925,2,4,0,5,71.2,7.71,6.65,9.34,3.46,22,13,4,15.8,13.1,100,8,3,5.8,3,75,3,0,30,0,0,0,10,4,1,0.33,2,0,0,0,0,0,0,0,0,0,1,218.5,0.21,2.14
Garrett Wilson,NYJ,17,WR,139,83,3,1103,3,4,1,2,59.7,10.99,7.94,13.29,4.69,29,10,3,20.9,12,75,11,2,7.9,2.4,50,4,0,4,0,0,0,1,1.75,1,0.25,2,1,0,25,0,0,0,0,0,0,0,217.7,0.25,2.5
Jerry Jeudy,DEN,15,WR,100,68,5,987,3,6,1,6,68,12.08,9.87,14.51,6.15,21,12,5,21,17.6,83.3,9,3,9,4.4,50,3,0,26,0,0,0,8.67,6.33,1,0.33,0,0,0,0,0,0,0,0,0,0,0,205.3,0.29,2.89
Cooper Kupp,LA,9,WR,95,75,2,812,5,6,2,1,78.9,7.48,8.55,10.83,5.59,17,12,4,17.9,16,66.7,6,3,6.3,4,50,9,0,52,0,1,0,5.78,0.78,1,0.11,2,1,1,11.1,100,0,0,0,0,0,0,203.4,0.38,2.42
Chris Olave,NO,15,WR,114,72,4,1044,3,4,1,3,63.2,14.95,9.16,14.5,3.04,27,11,4,23.7,15.3,100,5,2,4.4,2.8,50,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,200.4,0.33,2.78
D.J. Moore,CAR,17,WR,109,63,4,888,3,7,1,3,57.8,14,8.15,14.1,3.03,25,13,7,22.9,20.6,100,11,5,10.1,7.9,71.4,10,0,53,0,0,0,5.3,3.2,2,0.2,0,1,0,10,0,0,0,0,0,0,0,199.1,0.2,2.73
Zay Jones,JAX,16,WR,117,82,1,823,2,5,1,8,70.1,9.41,7.03,10.04,3.65,32,15,4,27.4,18.3,80,13,3,11.1,3.7,60,4,0,18,0,0,0,4.5,2.5,1,0.25,0,2,0,50,0,1,0,25,0,1,1,196.1,0.21,2.28
